uuid,waktu_transaksi,shelter_name_var,terminal_name_var,card_number_var,card_type_var,balance_before_int,fare_int,balance_after_int,transcode_txt,gate_in_boo,p_latitude_flo,p_longitude_flo,status_var,free_service_boo,insert_on_dtm
halte-61-1763313426-958423,2025-11-03 04:36:43,Shelter Matraman 2,Terminal C,62821985520591,Kartu Pelajar,34086,5000,29086,TRX365127,0,-5.801667,107.065558,F,0,2025-11-17 00:17:06
halte-62-1763313426-405349,2025-11-05 04:26:04,Terminal Harmoni 4,Terminal A,62821666177497,Kartu Lansia,45849,3500,42349,TRX419433,0,-5.889636,106.793065,P,0,2025-11-17 00:17:06
halte-63-1763313426-656842,2025-11-12 19:08:46,Terminal Grogol 3,Terminal C,62827506237461,Kartu Disabilitas,26862,5000,21862,TRX577043,1,-5.815646,106.886128,F,0,2025-11-17 00:17:06
halte-64-1763313426-628678,2025-11-03 21:23:31,Halte Dukuh Atas 2,Terminal D,62827480213084,Kartu Lansia,10237,7000,3237,TRX249575,0,-6.175139,106.843018,P,0,2025-11-17 00:17:06
halte-65-1763313426-248281,2025-11-03 02:22:45,Terminal Senayan 3,Terminal C,62825765876896,Kartu Disabilitas,50861,3500,47361,TRX275400,1,-6.035883,106.952701,F,0,2025-11-17 00:17:06
halte-66-1763313426-766269,2025-11-03 15:08:46,Halte Pulogadung 4,Terminal C,62824456946795,Kartu Pelajar,34083,7000,27083,TRX187146,0,-5.801776,106.819846,F,0,2025-11-17 00:17:06
halte-67-1763313426-294432,2025-11-13 23:04:50,Halte Dukuh Atas 2,Terminal C,62821432504397,Kartu Pelajar,24162,3500,20662,TRX392961,1,-6.132728,106.792815,S,0,2025-11-17 00:17:06
halte-68-1763313426-333491,2025-11-06 09:24:30,Terminal Kalideres 5,Terminal B,62829596606375,Kartu Reguler,48925,5000,43925,TRX296668,1,-6.151697,107.094846,P,0,2025-11-17 00:17:06
halte-69-1763313426-590239,2025-11-08 17:43:39,Terminal Matraman 1,Terminal C,62827205190798,Kartu Pelajar,56900,7000,49900,TRX904231,1,-5.88212,106.988127,F,1,2025-11-17 00:17:06
halte-70-1763313426-716248,2025-11-10 14:07:27,Terminal Senayan 3,Terminal B,62826332848536,Kartu Disabilitas,29072,3500,25572,TRX620579,1,-6.151902,106.741394,F,0,2025-11-17 00:17:06
halte-71-1763313426-810439,2025-11-12 14:47:09,Halte Cempaka Putih 1,Terminal B,62823298060034,Kartu Lansia,33229,5000,28229,TRX449720,1,-6.068586,106.7352,S,1,2025-11-17 00:17:06
halte-72-1763313426-704991,2025-11-09 11:31:30,Halte Matraman 1,Terminal D,62827675597176,Kartu Reguler,53147,3500,49647,TRX601571,1,-5.984926,106.881858,S,0,2025-11-17 00:17:06
halte-73-1763313426-304046,2025-11-10 05:28:18,Halte Matraman 1,Terminal B,62827133354644,Kartu Pelajar,36563,10000,26563,TRX955597,0,-6.162229,106.784009,P,0,2025-11-17 00:17:06
halte-74-1763313426-636765,2025-11-04 08:26:40,Shelter Monas 3,Terminal C,62824948798713,Kartu Pelajar,14698,3500,11198,TRX179603,0,-5.820532,107.039433,P,0,2025-11-17 00:17:06
halte-75-1763313426-548643,2025-11-11 12:18:17,Terminal Ancol 1,Terminal B,62826792930501,Kartu Pelajar,58335,7000,51335,TRX355676,1,-5.895897,106.704499,P,1,2025-11-17 00:17:06
halte-76-1763313426-439198,2025-11-14 19:32:25,Terminal Matraman 1,Terminal B,62825799760886,Kartu Lansia,49254,7000,42254,TRX754256,1,-6.1091,106.73216,P,0,2025-11-17 00:17:06
halte-77-1763313426-418016,2025-11-11 00:50:03,Shelter Pulogadung 3,Terminal A,62824805893844,Kartu Lansia,20997,10000,10997,TRX462039,1,-6.00679,107.05923,S,0,2025-11-17 00:17:06
halte-78-1763313426-157537,2025-11-09 21:32:46,Shelter CSW 2,Terminal D,62825666203177,Kartu Reguler,24399,5000,19399,TRX107018,0,-5.979021,106.920041,P,0,2025-11-17 00:17:06
halte-79-1763313426-978179,2025-11-02 10:56:27,Halte Matraman 2,Terminal A,62823816672078,Kartu Pelajar,50077,5000,45077,TRX659445,1,-5.94824,107.044552,P,0,2025-11-17 00:17:06
halte-80-1763313426-960147,2025-11-09 23:23:51,Shelter Lebak Bulus 4,Terminal C,62826252681278,Kartu Pelajar,30985,3500,27485,TRX702355,0,-6.038937,106.792407,F,0,2025-11-17 00:17:06
halte-81-1763313426-403459,2025-11-04 23:00:35,Halte Cempaka Putih 2,Terminal B,62828562623053,Kartu Lansia,38926,10000,28926,TRX571566,1,-6.174688,106.866622,P,0,2025-11-17 00:17:06
halte-82-1763313426-523437,2025-11-08 05:06:18,Shelter CSW 2,Terminal D,62827735914654,Kartu Pelajar,54959,7000,47959,TRX897681,0,-6.114253,106.76662,P,0,2025-11-17 00:17:06
halte-83-1763313426-101586,2025-11-01 01:38:53,Terminal Grogol 2,Terminal D,62824266118712,Kartu Pelajar,32363,10000,22363,TRX822024,0,-5.827183,106.908266,P,0,2025-11-17 00:17:06
halte-84-1763313426-711029,2025-11-03 23:09:43,Shelter Pulogadung 4,Terminal B,62821408886152,Kartu Lansia,53229,7000,46229,TRX224059,0,-5.928683,106.712698,S,0,2025-11-17 00:17:06
halte-85-1763313426-449441,2025-11-05 03:15:16,Terminal Grogol 3,Terminal A,62827161416023,Kartu Lansia,47785,10000,37785,TRX267048,1,-5.816966,106.702128,P,1,2025-11-17 00:17:06
halte-86-1763313426-231377,2025-11-03 02:37:11,Halte Dukuh Atas 2,Terminal B,62824128553197,Kartu Reguler,50568,5000,45568,TRX476765,1,-6.09236,106.780414,S,0,2025-11-17 00:17:06
halte-87-1763313426-452904,2025-11-03 19:45:34,Shelter Matraman 2,Terminal B,62824337240531,Kartu Lansia,20935,3500,17435,TRX969415,1,-6.111028,107.021879,F,0,2025-11-17 00:17:06
halte-88-1763313426-829860,2025-11-02 21:20:58,Shelter Dukuh Atas 1,Terminal D,62824715163641,Kartu Lansia,34330,7000,27330,TRX410025,1,-6.07773,107.082612,F,0,2025-11-17 00:17:06
halte-89-1763313426-281870,2025-11-02 11:40:54,Shelter Ancol 2,Terminal A,62822241373911,Kartu Pelajar,40593,10000,30593,TRX623561,1,-6.186845,106.871276,P,0,2025-11-17 00:17:06
halte-90-1763313426-115321,2025-11-02 14:51:58,Halte Cempaka Putih 2,Terminal D,62824145726697,Kartu Reguler,56738,3500,53238,TRX601109,0,-5.829235,106.880785,S,0,2025-11-17 00:17:06
halte-91-1763313426-228458,2025-11-11 11:24:29,Halte Matraman 2,Terminal B,62824508443103,Kartu Lansia,48063,5000,43063,TRX487716,1,-6.051839,106.969281,F,0,2025-11-17 00:17:06
halte-92-1763313426-288449,2025-11-04 19:21:05,Shelter Senen 4,Terminal A,62825790836793,Kartu Reguler,13551,5000,8551,TRX156138,0,-5.87434,106.882219,F,0,2025-11-17 00:17:06
halte-93-1763313426-235064,2025-11-05 08:54:00,Shelter Tosari 1,Terminal D,62827743165299,Kartu Pelajar,49182,5000,44182,TRX928044,0,-5.894505,106.874289,F,0,2025-11-17 00:17:06
halte-94-1763313426-174353,2025-11-09 13:13:56,Shelter Pulogadung 3,Terminal B,62823735715604,Kartu Reguler,51736,3500,48236,TRX580818,0,-5.951801,106.806412,F,0,2025-11-17 00:17:06
halte-95-1763313426-711926,2025-11-04 17:23:09,Halte Matraman 1,Terminal D,62827310813850,Kartu Reguler,30101,3500,26601,TRX604094,0,-6.165832,106.84863,S,0,2025-11-17 00:17:06
halte-96-1763313426-815503,2025-11-13 02:45:28,Shelter Pulogadung 3,Terminal B,62829537614401,Kartu Lansia,33059,10000,23059,TRX184383,0,-6.073523,106.789892,P,0,2025-11-17 00:17:06
halte-97-1763313426-528620,2025-11-12 21:28:25,Terminal Cawang 4,Terminal C,62829299346886,Kartu Disabilitas,51270,10000,41270,TRX297611,0,-5.866253,106.735194,P,0,2025-11-17 00:17:06
halte-98-1763313426-966681,2025-11-07 18:59:58,Terminal Cawang 4,Terminal A,62824276687733,Kartu Reguler,56335,3500,52835,TRX322301,1,-6.101155,106.804529,P,0,2025-11-17 00:17:06
halte-99-1763313426-534785,2025-11-02 05:17:01,Terminal Grogol 3,Terminal C,62825648051942,Kartu Pelajar,47198,5000,42198,TRX792717,0,-6.103153,106.75496,S,0,2025-11-17 00:17:06
halte-100-1763313426-113466,2025-11-01 06:15:34,Terminal Matraman 1,Terminal B,62825231860859,Kartu Reguler,44401,10000,34401,TRX749478,1,-6.181265,106.88707,F,1,2025-11-17 00:17:06
