uuid,waktu_transaksi,armada_id_var,no_body_var,card_number_var,card_type_var,balance_before_int,fare_int,balance_after_int,transcode_txt,gate_in_boo,p_latitude_flo,p_longitude_flo,status_var,free_service_boo,insert_on_dtm
bus-23-1763313426-627445,2025-11-02 11:31:59,ARM-31,SMB289,62825764020573,Kartu Pelajar,53847,10000,43847,TRX994315,0,-5.812181,106.981921,F,0,2025-11-17 00:17:06
bus-24-1763313426-560201,2025-11-13 14:10:02,ARM-42,LGS339A,62826588820680,Kartu Pelajar,42314,10000,32314,TRX464490,0,-5.872274,106.797102,F,0,2025-11-17 00:17:06
bus-25-1763313426-755119,2025-11-03 16:47:47,ARM-4,LGS_130,62826907546314,Kartu Disabilitas,14739,7000,7739,TRX733183,1,-6.054329,106.808746,P,0,2025-11-17 00:17:06
bus-26-1763313426-329567,2025-11-10 22:30:35,ARM-24,SMB 336A,62825760081986,Kartu Pelajar,47600,3500,44100,TRX533561,1,-6.164757,107.069986,F,0,2025-11-17 00:17:06
bus-27-1763313426-715674,2025-11-11 19:13:39,ARM-23,KRW 20,62825021673571,Kartu Disabilitas,16872,7000,9872,TRX795076,0,-6.131596,106.741964,F,0,2025-11-17 00:17:06
bus-28-1763313426-590794,2025-11-10 12:04:11,ARM-10,SMB_128,62827553519489,Kartu Reguler,15166,5000,10166,TRX392300,1,-6.111508,107.011402,P,1,2025-11-17 00:17:06
bus-29-1763313426-127431,2025-11-09 23:26:17,ARM-34,TJK_42,62821154196296,Kartu Pelajar,14974,5000,9974,TRX498825,1,-6.024438,106.898247,S,0,2025-11-17 00:17:06
bus-30-1763313426-685584,2025-11-03 01:58:16,ARM-45,BRT_100,62826736615860,Kartu Disabilitas,49602,3500,46102,TRX751784,1,-6.057633,106.887708,S,0,2025-11-17 00:17:06
bus-31-1763313426-486092,2025-11-05 10:45:05,ARM-5,SMB_441,62828139048527,Kartu Reguler,25681,7000,18681,TRX945091,0,-5.87264,106.800636,F,0,2025-11-17 00:17:06
bus-32-1763313426-773204,2025-11-14 04:48:14,ARM-48,BRT 139,62829098527386,Kartu Lansia,57394,10000,47394,TRX282094,1,-5.940499,106.7902,S,0,2025-11-17 00:17:06
bus-33-1763313426-295938,2025-11-09 21:08:47,ARM-18,SMB_372,62823988295204,Kartu Pelajar,36296,10000,26296,TRX197710,1,-6.104692,106.944604,P,0,2025-11-17 00:17:06
bus-34-1763313426-414721,2025-11-05 13:59:14,ARM-33,BRT_268,62822496253776,Kartu Pelajar,48752,10000,38752,TRX210954,1,-6.063037,106.917268,S,0,2025-11-17 00:17:06
bus-35-1763313426-598258,2025-11-10 05:06:11,ARM-7,LGS 337,62823842764183,Kartu Pelajar,30921,3500,27421,TRX491648,0,-5.825095,106.9777,P,0,2025-11-17 00:17:06
bus-36-1763313426-454913,2025-11-07 14:05:38,ARM-36,SMB 5,62823510744228,Kartu Pelajar,26501,5000,21501,TRX357171,0,-6.058282,107.00721,S,0,2025-11-17 00:17:06
bus-37-1763313426-105827,2025-11-09 23:17:40,ARM-4,LGS450,62828228714504,Kartu Reguler,53490,10000,43490,TRX753099,0,-6.109825,106.942456,P,0,2025-11-17 00:17:06
bus-38-1763313426-881829,2025-11-09 21:18:49,ARM-22,TJK_287,62826224098021,Kartu Disabilitas,41696,3500,38196,TRX747775,0,-5.920124,106.916378,F,0,2025-11-17 00:17:06
bus-39-1763313426-458495,2025-11-07 18:23:03,ARM-21,SMB_441,62828358508996,Kartu Lansia,33333,5000,28333,TRX643479,1,-5.933667,106.762194,P,0,2025-11-17 00:17:06
bus-40-1763313426-333488,2025-11-11 20:09:47,ARM-13,TJK 119,62824304272297,Kartu Disabilitas,37971,7000,30971,TRX968517,0,-6.067619,106.822673,F,0,2025-11-17 00:17:06
bus-41-1763313426-950583,2025-11-11 05:00:13,ARM-9,LGS13,62828751798479,Kartu Disabilitas,39156,10000,29156,TRX466057,1,-6.078847,106.822208,P,0,2025-11-17 00:17:06
bus-42-1763313426-732589,2025-11-03 01:36:30,ARM-20,LGS_388,62822581016338,Kartu Reguler,50293,3500,46793,TRX142296,0,-6.07466,106.888959,F,0,2025-11-17 00:17:06
bus-43-1763313426-275917,2025-11-09 00:12:04,ARM-20,LGS450,62829250740695,Kartu Disabilitas,22041,7000,15041,TRX738442,0,-5.956478,106.85706,S,0,2025-11-17 00:17:06
bus-44-1763313426-196956,2025-11-09 10:49:58,ARM-26,LGS_65,62827095035151,Kartu Lansia,30407,3500,26907,TRX413643,0,-5.845655,106.738654,P,0,2025-11-17 00:17:06
bus-45-1763313426-312788,2025-11-12 14:09:46,ARM-45,LGS292,62828894741507,Kartu Lansia,39465,5000,34465,TRX302483,0,-6.00316,106.862592,F,0,2025-11-17 00:17:06
bus-46-1763313426-174156,2025-11-05 01:07:51,ARM-1,LGS292,62829494692347,Kartu Disabilitas,28163,7000,21163,TRX134233,1,-6.129598,107.049876,P,0,2025-11-17 00:17:06
bus-47-1763313426-956145,2025-11-05 15:25:05,ARM-34,LGS 355A,62828045432974,Kartu Disabilitas,11674,3500,8174,TRX370925,0,-5.818319,107.082904,F,0,2025-11-17 00:17:06
bus-48-1763313426-822274,2025-11-10 04:44:34,ARM-24,SMB_456,62825609061520,Kartu Pelajar,11222,3500,7722,TRX914592,1,-5.868351,107.087309,P,0,2025-11-17 00:17:06
bus-49-1763313426-106595,2025-11-13 08:11:12,ARM-14,SMB 257,62827694701206,Kartu Reguler,45434,10000,35434,TRX285978,0,-6.102132,106.979112,P,0,2025-11-17 00:17:06
bus-50-1763313426-588443,2025-11-10 04:58:48,ARM-22,BRT 70,62825153183552,Kartu Lansia,18668,3500,15168,TRX718572,0,-6.087942,106.941678,S,0,2025-11-17 00:17:06
bus-51-1763313426-305387,2025-11-10 07:51:37,ARM-29,SMB_456,62822052429685,Kartu Pelajar,33906,10000,23906,TRX561999,1,-6.068839,107.042922,F,0,2025-11-17 00:17:06
bus-52-1763313426-761215,2025-11-11 23:41:37,ARM-16,KRW_22A,62829130452631,Kartu Pelajar,21256,5000,16256,TRX933825,1,-6.111705,106.969267,P,1,2025-11-17 00:17:06
bus-53-1763313426-229858,2025-11-12 09:53:51,ARM-37,KRW 131,62824591645827,Kartu Pelajar,15465,5000,10465,TRX763363,0,-6.001791,106.80585,P,0,2025-11-17 00:17:06
bus-54-1763313426-391741,2025-11-05 15:17:27,ARM-40,TJK 65,62826027022631,Kartu Disabilitas,22954,5000,17954,TRX187056,1,-5.806149,106.772171,P,0,2025-11-17 00:17:06
bus-55-1763313426-908885,2025-11-12 04:39:56,ARM-14,SMB_372,62827008936322,Kartu Reguler,22617,10000,12617,TRX878591,0,-5.986595,106.786086,P,0,2025-11-17 00:17:06
bus-56-1763313426-362870,2025-11-05 00:32:43,ARM-48,KRW103B,62825582718587,Kartu Disabilitas,15683,5000,10683,TRX646133,1,-6.122424,106.842268,F,0,2025-11-17 00:17:06
bus-57-1763313426-325783,2025-11-12 04:08:49,ARM-20,SMB_114,62822086394658,Kartu Disabilitas,30644,5000,25644,TRX731333,0,-6.080696,106.812893,S,0,2025-11-17 00:17:06
bus-58-1763313426-583040,2025-11-12 00:58:49,ARM-9,KRW_352,62826608718385,Kartu Disabilitas,51659,7000,44659,TRX601720,1,-6.103539,107.030775,F,0,2025-11-17 00:17:06
bus-59-1763313426-807975,2025-11-10 19:57:55,ARM-31,TJK 119,62821807783446,Kartu Disabilitas,34977,3500,31477,TRX603841,0,-5.948763,106.953448,P,0,2025-11-17 00:17:06
bus-60-1763313426-157766,2025-11-12 10:06:52,ARM-21,SMB_25A,62828892272745,Kartu Pelajar,53397,7000,46397,TRX913816,1,-5.891448,106.753469,F,0,2025-11-17 00:17:06
bus-61-1763313426-405761,2025-11-09 06:55:20,ARM-25,LGS13,62826502119823,Kartu Disabilitas,28981,10000,18981,TRX794524,1,-5.91927,106.944892,F,1,2025-11-17 00:17:06
bus-62-1763313426-549079,2025-11-10 15:55:55,ARM-31,BRT 70,62821147749742,Kartu Pelajar,51158,7000,44158,TRX256265,0,-5.806332,106.704589,P,0,2025-11-17 00:17:06
bus-63-1763313426-990266,2025-11-12 17:52:43,ARM-18,LGS292,62828663574775,Kartu Disabilitas,13206,7000,6206,TRX653209,1,-6.173236,106.746794,S,0,2025-11-17 00:17:06
bus-64-1763313426-448793,2025-11-03 12:18:25,ARM-24,SMB353B,62827470629132,Kartu Disabilitas,45944,10000,35944,TRX396988,1,-5.983807,107.088081,F,0,2025-11-17 00:17:06
bus-65-1763313426-222077,2025-11-08 22:26:08,ARM-13,SMB_266,62824846772332,Kartu Pelajar,59325,3500,55825,TRX153580,0,-6.077659,107.042762,F,0,2025-11-17 00:17:06
bus-66-1763313426-685099,2025-11-12 15:51:53,ARM-23,TJK_351,62821870837843,Kartu Disabilitas,36611,5000,31611,TRX467104,1,-5.889295,106.90321,P,0,2025-11-17 00:17:06
bus-67-1763313426-355306,2025-11-10 09:20:24,ARM-25,LGS57A,62828290767138,Kartu Disabilitas,31464,10000,21464,TRX131836,0,-5.930421,106.777368,F,0,2025-11-17 00:17:06
bus-68-1763313426-255316,2025-11-07 19:30:09,ARM-47,BRT 68,62823447937117,Kartu Disabilitas,53564,7000,46564,TRX490321,1,-6.121354,106.828076,P,0,2025-11-17 00:17:06
bus-69-1763313426-794819,2025-11-04 12:10:49,ARM-36,LGS_130,62821307384565,Kartu Reguler,32315,5000,27315,TRX902624,1,-6.029465,106.71208,S,0,2025-11-17 00:17:06
bus-70-1763313426-950769,2025-11-13 21:13:32,ARM-30,SMB 254A,62829379829155,Kartu Lansia,41723,3500,38223,TRX136994,1,-6.09675,107.098256,S,0,2025-11-17 00:17:06
bus-71-1763313426-226022,2025-11-04 12:35:36,ARM-36,LGS13,62829681960844,Kartu Pelajar,54926,10000,44926,TRX561184,0,-6.012176,106.839702,F,1,2025-11-17 00:17:06
bus-72-1763313426-918492,2025-11-06 11:46:55,ARM-41,LGS442,62823622398575,Kartu Disabilitas,44376,10000,34376,TRX759688,1,-5.933343,106.857112,P,1,2025-11-17 00:17:06
bus-73-1763313426-284080,2025-11-10 17:06:14,ARM-42,KRW_394,62823180147397,Kartu Lansia,36465,5000,31465,TRX117654,1,-5.909563,106.993692,F,0,2025-11-17 00:17:06
bus-74-1763313426-241327,2025-11-08 16:54:55,ARM-26,KRW 359,62828776790841,Kartu Lansia,27893,3500,24393,TRX772900,0,-5.953323,106.765707,P,1,2025-11-17 00:17:06
bus-75-1763313426-612869,2025-11-10 00:07:56,ARM-44,LGS 355A,62829789192444,Kartu Disabilitas,22850,10000,12850,TRX807541,0,-5.967068,106.936153,F,0,2025-11-17 00:17:06
bus-76-1763313426-290980,2025-11-01 04:12:19,ARM-9,TJK_42,62821852766215,Kartu Disabilitas,23900,7000,16900,TRX107760,1,-5.856584,106.845819,F,0,2025-11-17 00:17:06
bus-77-1763313426-338465,2025-11-12 22:33:33,ARM-14,LGS223,62826234011606,Kartu Disabilitas,23169,3500,19669,TRX133974,0,-5.884613,106.856721,S,0,2025-11-17 00:17:06
bus-78-1763313426-883393,2025-11-01 18:43:17,ARM-34,KRW_394,62828097809291,Kartu Pelajar,20014,7000,13014,TRX416309,0,-6.070106,107.095923,F,0,2025-11-17 00:17:06
bus-79-1763313426-936520,2025-11-07 18:00:58,ARM-30,TJK239,62822402081464,Kartu Reguler,38711,7000,31711,TRX896262,0,-5.93092,106.954277,P,1,2025-11-17 00:17:06
bus-80-1763313426-532454,2025-11-14 20:16:37,ARM-14,SMB_114,62821226772106,Kartu Lansia,45176,3500,41676,TRX297330,1,-5.952976,106.999893,S,0,2025-11-17 00:17:06
bus-81-1763313426-661816,2025-11-08 12:17:36,ARM-18,LGS435B,62823903561840,Kartu Disabilitas,59422,10000,49422,TRX525093,1,-6.159701,106.885357,F,0,2025-11-17 00:17:06
bus-82-1763313426-172151,2025-11-05 10:12:06,ARM-38,LGS 337,62824463912678,Kartu Pelajar,28806,10000,18806,TRX368102,0,-6.026497,107.079063,P,0,2025-11-17 00:17:06
bus-83-1763313426-939972,2025-11-02 11:11:06,ARM-25,BRT 68,62824849947500,Kartu Disabilitas,11849,3500,8349,TRX557602,1,-6.018825,106.770198,P,0,2025-11-17 00:17:06
bus-84-1763313426-358978,2025-11-01 14:00:22,ARM-18,TJK 261,62828918087840,Kartu Reguler,21525,3500,18025,TRX375112,0,-6.001563,106.774699,S,0,2025-11-17 00:17:06
bus-85-1763313426-863770,2025-11-11 09:32:51,ARM-10,BRT_100,62829298061363,Kartu Disabilitas,36625,10000,26625,TRX340808,1,-6.134793,106.870594,F,0,2025-11-17 00:17:06
bus-86-1763313426-356418,2025-11-02 21:11:25,ARM-7,LGS 355A,62821957290805,Kartu Reguler,46448,5000,41448,TRX401854,1,-5.859123,106.717863,F,0,2025-11-17 00:17:06
bus-87-1763313426-322175,2025-11-03 09:22:22,ARM-16,SMB 5,62823073276396,Kartu Disabilitas,35020,5000,30020,TRX188954,0,-5.846411,106.796173,F,0,2025-11-17 00:17:06
bus-88-1763313426-560204,2025-11-11 10:00:28,ARM-22,BRT_100,62821970746746,Kartu Disabilitas,53478,7000,46478,TRX995880,1,-6.045322,106.915663,P,0,2025-11-17 00:17:06
bus-89-1763313426-184314,2025-11-09 18:05:12,ARM-49,SMB426,62824199511188,Kartu Pelajar,21008,3500,17508,TRX832017,1,-5.993624,106.799186,F,0,2025-11-17 00:17:06
bus-90-1763313426-364229,2025-11-01 04:02:56,ARM-18,SMB 336A,62828675317153,Kartu Disabilitas,16091,10000,6091,TRX874181,1,-6.126296,106.815741,F,0,2025-11-17 00:17:06
bus-91-1763313426-837907,2025-11-02 00:49:15,ARM-11,LGS292,62822832722914,Kartu Disabilitas,55167,5000,50167,TRX543281,0,-6.115088,106.887601,S,0,2025-11-17 00:17:06
bus-92-1763313426-961602,2025-11-05 09:54:15,ARM-26,BRT 452,62828699436178,Kartu Reguler,12568,3500,9068,TRX201473,0,-6.091617,106.893742,P,0,2025-11-17 00:17:06
bus-93-1763313426-953277,2025-11-04 22:56:19,ARM-24,TJK 490,62826328260973,Kartu Reguler,27622,7000,20622,TRX681614,1,-6.166829,106.91813,S,0,2025-11-17 00:17:06
bus-94-1763313426-552070,2025-11-06 15:11:57,ARM-50,BRT_263B,62828236423004,Kartu Reguler,43147,7000,36147,TRX302071,1,-6.19972,106.887875,P,0,2025-11-17 00:17:06
bus-95-1763313426-138314,2025-11-08 15:12:06,ARM-26,KRW103B,62824686802799,Kartu Pelajar,38219,5000,33219,TRX698101,1,-6.13014,106.909766,P,1,2025-11-17 00:17:06
bus-96-1763313426-161928,2025-11-03 01:27:30,ARM-10,LGS_475,62829951082537,Kartu Reguler,42980,5000,37980,TRX114599,0,-6.013861,106.710304,S,0,2025-11-17 00:17:06
bus-97-1763313426-478808,2025-11-03 15:18:18,ARM-46,LGS442,62827178336813,Kartu Pelajar,21416,10000,11416,TRX429909,1,-5.998362,106.935981,S,0,2025-11-17 00:17:06
bus-98-1763313426-284139,2025-11-04 03:29:05,ARM-37,BRT 68,62828223131619,Kartu Pelajar,54581,10000,44581,TRX527630,0,-6.101954,106.825648,S,1,2025-11-17 00:17:06
bus-99-1763313426-977611,2025-11-13 14:36:12,ARM-33,TJK_287,62821270440607,Kartu Disabilitas,41154,10000,31154,TRX790325,1,-6.114996,106.748787,S,0,2025-11-17 00:17:06
bus-100-1763313426-621226,2025-11-01 07:37:07,ARM-10,TJK_179,62825920752256,Kartu Pelajar,35565,10000,25565,TRX174321,0,-5.905101,106.797947,S,1,2025-11-17 00:17:06
